Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
void main.Main.main(String[] args); TYPE_BASED; No; Yes; 34; 43; 1916; 16641; 8455; 843; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); INSTANCE_BASED; No; Yes; 34; 43; 2043; 20581; 7598; 884; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); OBJECT_SENSITIVE; No; Yes; 56; 69; 8565; 695667; 28532; 950; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); N1_OBJECT_SENSITIVE; No; Yes; 56; 69; 8565; 695667; 34329; 944; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 84; 97; 13920; 1587891; 1893373; 795; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 84; 97; 13920; 1587891; 1956725; 868; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 84; 97; 13920; 1587891; 1885947; 855; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 84; 97; 13920; 1587891; 1927481; 773; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); N1_CALL_STACK; No; Yes; 38; 45; 1384; 9084; 38704; 809; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); TYPE_BASED; Yes; Yes; 34; 43; 1916; 17174; 10068; 404; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); INSTANCE_BASED; Yes; Yes; 34; 43; 2043; 21114; 63781; 438; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); OBJECT_SENSITIVE; Yes; Yes; 56; 69; 8565; 698915; 29275; 525; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); N1_OBJECT_SENSITIVE; Yes; Yes; 56; 69; 8565; 698915; 30227; 524; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; Yes; Yes; 84; 97; 13920; 1590992; 1199342; 922; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
void main.Main.main(String[] args); N1_CALL_STACK; Yes; Yes; 38; 45; 1384; 9441; 48561; 1040; No; -; -; -; -; -; -; [18, 19, 20]; [21, 22, 45, 46, 47, 48, 52, 53]
